tcgdex_id,poketrace_id,name,set,tcgdex_price,poketrace_avg_nm,total_sale_count,ebay_sale_count,tcgplayer_sale_count,platform_count,price_stability,freshness_days,liquidity_score,matched
gym1-64,019bff78-a647-717f-a4e4-3e87db948703,Blaine's Tauros,Gym Heroes,1.07,0.95,1081,0,1081,1,3.8,0,579.7,True
bw7-7,019bff81-ba59-7208-a49b-33308514f5f2,Scyther,Neo Discovery,1.05,1.59,1034,21,1013,2,4.2,0,566.2,True
neo1-77,019bff82-9f84-7584-9776-30e3d7012362,Sudowoodo,Neo Genesis,1.05,0.76,1001,21,980,2,1.3,0,550.2,True
swsh2-72,019bff96-3f24-733d-8f2a-f0d4cd42c7de,Pincurchin V,SWSH02: Rebel Clash,1.03,1.04,959,25,934,2,5,0,528.5,True
col1-29,019bff77-befb-757f-890b-7370f372b951,Mr. Mime,Base Set 2,1.08,5.59,945,23,922,2,1.6,0,522.2,True
bw9-73,019bff91-e4db-74ae-971a-56eeac2379ab,Bisharp,Miscellaneous Cards & Products,1.01,0.86,905,24,881,2,0.9,0,502.3,True
bw5-79,019bff91-e4db-74ae-971a-56eeac2379ab,Bisharp,Miscellaneous Cards & Products,1.03,0.86,905,24,881,2,0.9,0,502.3,True
swsh2-136,019bff96-3f25-72d1-b369-6cbfb9379e43,Copperajah V,SWSH02: Rebel Clash,1.02,1.02,904,24,880,2,3.3,0,501.3,True
gym1-122,019bff7b-60a5-76b8-99df-f3e10df03810,Energy Flow,Gym Heroes,1.01,0.4,879,14,865,2,0.5,0,489.4,True
bw4-35,019bff99-7af1-7262-a097-201fe6ad03a8,Jellicent,SWSH05: Battle Styles,1.1,0.4,877,19,858,2,4.5,0,487.6,True
hgss4-28,019bff77-befb-757f-890a-bb4a3a8cd6b4,Nidoqueen,Base Set 2,1.09,24.95,871,22,849,2,1,0,485.3,True
neo2-37,019bff79-8e10-76e9-bb0e-a3d332266d0e,Corsola,Neo Discovery,1.03,4.48,847,17,830,2,4.4,0,472.6,True
pop7-13,019bff79-8e10-76e9-bb0e-a3d332266d0e,Corsola,Neo Discovery,1.05,4.48,847,17,830,2,4.4,0,472.6,True
swshp-SWSH152,019bff96-3f23-77ea-bac9-2e9ff4038a99,Professor's Research,Deck Exclusives,1.02,0.16,853,0,853,1,0,0,466.5,True
swshp-SWSH178,019bff96-3f23-77ea-bac9-2e9ff4038a99,Professor's Research,Deck Exclusives,1.02,0.16,853,0,853,1,0,0,466.5,True
swsh9-170,019bffa7-ed6f-747e-a887-dab638f86226,Kindler,Prize Pack Series Cards,1.05,0.27,815,1,814,2,21.5,0,453.2,True
ex2-55,019bff84-6f78-703d-b07f-1d5b74108f3e,Xatu,Neo Discovery,1.02,0.78,771,0,771,1,3.8,0,424.7,True
gym1-126,019bff83-863e-704c-9304-c45ee97caefb,Trash Exchange,Gym Heroes,1.09,0.79,714,21,693,2,1.5,0,406.7,True
swshp-SWSH040,019bff99-7af1-7262-a092-66afd795b875,Hatenna,Shining Fates: Shiny Vault,1.01,2.5,711,51,660,2,6.2,0,404.3,True
tk-xy-w-6,019bff8b-8e0e-7604-a50a-22cb5b0bee21,Fairy Energy,XY - Evolutions,1,3.17,706,15,691,2,8.6,0,401.3,True
tk-xy-w-7,019bff8b-8e0e-7604-a50a-22cb5b0bee21,Fairy Energy,XY - Evolutions,1,3.17,706,15,691,2,8.6,0,401.3,True
neo1-43,019bff7f-e2b8-7168-a03f-4504aee7f6b9,Phanpy,Neo Destiny,1.07,1.31,690,4,686,2,3.2,0,394.4,True
sm11-70,019c3ac3-ec6d-756e-8a46-8aceeaf0b88e,Xurkitree,SM - Unified Minds,1.07,1.07,687,33,654,2,2.6,0,393,True
sm4-31,019c3ac3-ec6b-7535-9312-7da5df3ffc6e,Alolan Raichu,SM - Crimson Invasion,1.04,1.04,658,28,630,2,1.7,0,378.7,True
tk-xy-b-2,019bff7e-fc4f-7384-9b8a-104bfe68f9b5,Metal Energy,Neo Genesis,1,12.07,626,14,612,2,2.2,0,362.6,True
ex13-95,019bff7e-fc4f-7384-9b8a-104bfe68f9b5,Metal Energy,Neo Genesis,1,12.07,626,14,612,2,2.2,0,362.6,True
ex10-97,019bff7e-fc4f-7384-9b8a-104bfe68f9b5,Metal Energy,Neo Genesis,1.04,12.07,626,14,612,2,2.2,0,362.6,True
sv05-153,019bff7e-fc4e-7689-a93c-b85d2a2a2bcc,Master Ball,Gym Challenge,1.04,2.94,598,1,597,2,0.4,0,348.9,True
gym1-118,019bff81-ba5a-741b-bef3-f15f81d0fcd1,Secret Mission,Gym Heroes,1.02,1.01,608,0,608,1,0.6,0,343.9,True
g1-81,019bff7a-78f3-7153-ae67-008a2d81e826,Darkness Energy,Neo Genesis,1,5.33,565,10,555,2,0.9,0,332.3,True
xy1-13,019c3ac3-ec67-74f4-b260-c20c998b32e6,Quilladin,XY Base Set,1.01,1.01,563,11,552,2,2,0,331.1,True
bw2-94,019c3ac3-ec6a-771e-9d08-ca7773376ac1,Max Potion,XY - BREAKpoint,1.1,0.22,561,12,549,2,0.9,0,330.3,True
sm8-78,019bff77-befc-77ae-b884-cd7bbf1e0598,Ampharos,Neo Genesis,1.08,24.09,515,13,502,2,1.2,0,307.3,True
dp5-87,019bff82-9f84-7584-9776-d354c0da1436,Super Scoop Up,Neo Genesis,1.02,1.24,507,13,494,2,1.8,0,303.1,True
dp5-82,019c3ac3-ec65-7568-b390-225987d32cec,Fossil Excavator,Mysterious Treasures,1.01,0.51,507,20,487,2,3.5,0,302.8,True
pop8-12,019bff79-8e10-76e9-bb0c-6c6b0a2602b5,Chimchar,POP Series 9,1.01,0.72,482,14,468,2,2.2,0,290.6,True
dp4-55,019bff83-863e-704c-9303-5ce04bf2942e,Togetic,Neo Genesis,1.03,29.86,461,22,439,2,0,0,280.5,True
bw8-67,019bff8c-7243-760b-b38f-34d727738280,Garbodor,SM - Guardians Rising,1.01,0.64,449,23,426,2,1.6,0,274.2,True
bw8-65,019bff8c-7243-760b-b38f-31dedb084ae1,Trubbish,SM - Guardians Rising,1.01,0.79,431,15,416,2,2,0,265.1,True
sm8-119,019bff8b-8e10-7797-bafa-2db780f5768e,Alolan Persian,SM Base Set,1.04,0.47,429,16,413,2,4.3,0,263.6,True
bw3-21,019bff8a-a5c0-76a9-86a7-2dd45dc2a1a9,Volcarona,XY - Steam Siege,1.06,2.32,415,15,400,2,3.2,0,256.9,True
swsh4-132,019bff7e-1601-757e-bd2b-9ef5b722c803,Lugia,Neo Revelation,1.01,28.26,405,6,399,2,2.5,0,252,True
pl4-87,019c3ac3-ec65-7568-b38e-00cc965354c6,Expert Belt,Arceus,1.06,1.06,385,19,366,2,0,0,242.5,True
pl2-76,019c3ac3-ec67-74f4-b260-93f7f0fb8f9e,Quagsire GL,Rising Rivals,1,1,385,11,374,2,0.4,0,242.4,True
dp5-78,019bff83-863f-718a-b5c1-6062d11cc810,Turtwig,POP Series 9,1.06,1.18,380,16,364,2,1.2,0,239.8,True
dc1-27,019c3ac3-ec6a-771e-9d00-841b357932ba,Team Aqua's Great Ball,Double Crisis,1.06,1.06,372,13,359,2,0,0,236,True
bw10-20,019bff82-9f84-7584-9776-57f43a8dbba3,Suicune,WoTC Promo,1.04,41.9,368,15,353,2,2.1,0,233.6,True
ex1-79,019bff84-6f78-703d-b080-68e8ed1a1bbd,Zigzagoon,EX Trainer Kit 1: Latias & Latios,1.05,0.33,319,3,316,2,1.2,0,209.3,True
bw5-102,019bff83-863f-718a-b5c2-4845fc16cb72,Ultra Ball,Plasma Blast,1,6.15,314,16,298,2,0.8,0,206.8,True
dp4-89,019bff83-863e-704c-9303-9bd742f8f5d6,Torchic,EX Trainer Kit 1: Latias & Latios,1.04,0.29,306,2,304,2,2.8,0,202.4,True
hgss1-39,019bff7a-78f4-707a-bf6e-1046f89c3dfa,Delibird,Neo Revelation,1.05,36.82,302,24,278,2,1,0,200.8,True
xy9-99,019bff89-bc5e-71ed-9469-7d3188ea0b7a,Fighting Fury Belt,XY - BREAKpoint,1.08,2.82,298,19,279,2,0,0,199,True
ex3-80,019bff83-863e-704c-9304-d20fde3b067a,Treecko,Ruby and Sapphire,1.07,16,296,15,281,2,0,0,198,True
sm7-44,019bff7e-1601-757e-bd2c-1589564d98b7,Luvdisc,POP Series 2,1.02,1.22,295,23,272,2,1.8,0,197.1,True
xy5-84,019bff85-5462-7495-b8e6-d8f1f0d5d4f8,Groudon,XY - Primal Clash,1.03,1.71,289,13,276,2,0.5,0,194.4,True
dp3-33,019bff8a-a5c0-76a9-86a3-5fc2f416a8be,Mothim,XY - Fates Collide,1.04,0.66,261,12,249,2,0.9,0,180.3,True
sm8-79,019bff8d-8220-71c8-938f-230df3184bf9,Raikou,Shining Legends,1.03,1.72,251,18,233,2,2.9,0,174.9,True
sm6-105,019bff90-0db2-75a5-9cd2-cbd4788d5269,Diantha,SM - Forbidden Light,1.1,0.93,246,4,242,2,0.4,0,172.9,True
bw2-76,019bff8a-a5c1-7149-81da-f5e4aa82d596,Klinklang,XY - Steam Siege,1.1,0.37,241,16,225,2,2.2,0,170.1,True
bw5-77,019bff8a-a5c1-7149-81da-f5e4aa82d596,Klinklang,XY - Steam Siege,1.08,0.37,241,16,225,2,2.2,0,170.1,True
sm8-153,019bff78-a647-717f-a4e4-c1741a7bbad6,Blissey,Neo Revelation,1.02,58.94,237,11,226,2,0,0,168.5,True
dp1-70,019bff78-a647-717f-a4e3-51fabb7cc6ac,Bidoof,Diamond and Pearl,1.03,2.79,238,15,223,2,3.1,0,168.4,True
xy1-28,019bff8a-a5c0-76a9-86a6-c2bad6397104,Talonflame,XY - Steam Siege,1.04,0.69,231,20,211,2,1.7,0,165.2,True
swsh12.5-GG10,019bff8d-8220-71c8-938e-078d4c16737a,Mew,Deck Exclusives,1.03,11.42,250,0,250,1,1.2,0,164.8,True
dp7-17,019bff8c-7244-7168-b577-c1e05f7b6a21,Dusknoir,SM - Burning Shadows,1.02,0.29,224,11,213,2,3.4,0,161.3,True
xy4-86,019bff8d-8220-71c8-9392-4574fffa9159,Regigigas,SM - Crimson Invasion,1.09,0.49,217,12,205,2,4.9,0,157.5,True
bw1-10,019bff89-bc5e-71ed-9468-9177a31f1c1c,Lilligant,XY - BREAKpoint,1.01,0.64,207,16,191,2,1.9,0,153.1,True
bw1-61,019bff93-f25a-71cc-92f6-b714971a8095,Throh,SM - Cosmic Eclipse,1.01,0.38,204,17,187,2,1.1,0,151.8,True
xy5-50,019bff85-5461-76a3-b101-6fb8f25f4989,Huntail,XY - Primal Clash,1.02,0.99,202,21,181,2,0,0,151,True
ex9-13,019bff7c-4504-758b-a7c9-202b642cee4b,Glalie,Hidden Legends,1.1,6.6,198,14,184,2,4,0,148.2,True
hgss4-20,019bff7a-78f5-732c-acbf-7c906494b0fe,Electivire,Diamond and Pearl,1.09,11.26,196,14,182,2,1,0,147.8,True
dp3-25,019bff7a-78f5-732c-acbf-7c906494b0fe,Electivire,Diamond and Pearl,1.1,11.26,196,14,182,2,1,0,147.8,True
g1-RC23,019bff82-9f84-7584-9777-22988c6522f6,Swablu,Deoxys,1.09,32.47,192,15,177,2,7.7,0,144.5,True
bw4-33,019bff8c-7243-760b-b38e-dcce303bab4c,Vanilluxe,SM - Guardians Rising,1.1,0.36,188,15,173,2,0,0,144,True
tk-xy-n-30,019bff8a-a5c1-7149-81dc-ac55a1427863,Noivern,Deck Exclusives,1,0.7,206,0,206,1,0.3,0,142.9,True
g1-RC25,019bff86-38c8-778e-9e3e-d30622c4682a,Fletchling,XY - Roaring Skies,1.07,0.26,184,9,175,2,0,0,142,True
ex1-78,019bff84-6f78-703d-b07e-f41033b2b224,Wurmple,Legend Maker,1.06,9.54,187,13,174,2,8.2,0,141.9,True
dp2-60,019bff80-d351-7535-a79a-7d8d4ad89937,Quilava,Mysterious Treasures,1.07,4.19,183,9,174,2,0,0,141.5,True
ex2-42,019bff7e-1600-7088-8280-6328fd37e4e2,Lileep,Legend Maker,1.09,6.73,169,11,158,2,3.1,0,133.9,True
bw3-52,019bff8a-a5c0-76a9-86a3-ce2018c1fc86,Reuniclus,XY - Fates Collide,1.01,0.59,165,16,149,2,1.4,0,132.2,True
tk-xy-b-17,019bff8c-7244-7168-b572-fdbb48c77e8d,Patrat,SM - Guardians Rising,1,0.23,162,11,151,2,0,0,131,True
dp1-29,019bff7c-4505-7332-a33b-3fc978264b52,Hippowdon,Diamond and Pearl,1.08,3.27,162,15,147,2,0,0,131,True
ex5-21,019bff7e-fc4f-7384-9b8a-2faa52576198,Metang,Deoxys,1.11,12.9,161,12,149,2,0,0,130.5,True
pl1-121,019bff80-d351-7535-a79b-73aa0fcf5d0a,Rainbow Energy,XY Base Set,1.06,1.18,159,5,154,2,0.3,0,129.4,True
bw5-43,019bff85-5458-73eb-811a-cef324985252,Galvantula,XY - Phantom Forces,1.09,0.72,158,17,141,2,1.7,0,128.7,True
pop7-12,019bff78-a648-7332-9aa5-3af194fdf6cd,Burmy Sandy Cloak,Arceus,1.05,5.15,155,11,144,2,0,0,127.5,True
ex12-61,019bff81-ba5a-741b-bef4-011dbb0d3fb8,Seedot,Deoxys,1.08,14.99,152,21,131,2,0,0,126,True
ex3-25,019bff79-8e10-76e9-bb0e-144a5e99dce8,Combusken,Ruby and Sapphire,1.08,15.08,151,12,139,2,0,0,125.5,True
ex1-27,019bff79-8e10-76e9-bb0e-144a5e99dce8,Combusken,Ruby and Sapphire,1.04,15.08,151,12,139,2,0,0,125.5,True
ex16-22,019bff81-ba59-7208-a499-0759e14dd9e0,Sableye,Crystal Guardians,1.04,27.62,148,12,136,2,2.2,0,123.6,True
tk-xy-b-15,019bff81-ba5b-72b4-ae7a-294bd2f2006f,Slakoth,Mysterious Treasures,1,7.59,150,10,140,2,8.3,0,123.3,True
ex8-28,019bff84-6f78-703d-b07d-ce4e77913f78,Whiscash,Dragon,1.09,23.42,146,13,133,2,0,0,123,True
ex12-42,019bff81-ba58-765c-b247-3c3befde871a,Roselia,Legend Maker,1.08,24.99,146,11,135,2,3,0,122.4,True
sm7.5-24,019bff7b-60a7-77b8-b491-8c617559b160,Feraligatr,Mysterious Treasures,1.07,0.75,184,21,163,2,258.4,0,122,True
ex16-18,019bff7e-fc50-71f0-aee1-d6e5673b5ebb,Mightyena,Power Keepers,1.01,7.51,140,12,128,2,0,0,120,True
ex14-38,019bff7e-1601-757e-bd30-967cb373da9e,Marshtomp,POP Series 3,1.02,8.26,143,10,133,2,13.2,0,118.9,True
ex1-64,019bff80-d350-706b-9564-830b42a5e00e,Poochyena,Ruby and Sapphire,1.06,4.65,136,14,122,2,0.6,0,117.9,True
xy0-30,019bff85-5463-75f6-9d46-3b7fb8acf807,Bunnelby,XY - Primal Clash,1.07,0.37,133,10,123,2,0.5,0,116.4,True
bw11-49,019bff7b-60a5-76b8-99df-9c89a07648c3,Emolga,Legendary Treasures,1.1,9.08,142,10,132,2,23.7,0,116.3,True
dp5-55,019bff89-bc5c-75e8-a89f-43641119a5b0,Chatot,XY - BREAKthrough,1.03,0.37,132,18,114,2,1.6,0,115.7,True
bw6-8,019bff78-a647-717f-a4e2-48ba5f3c2ae5,Beautifly,POP Series 1,1.01,6.16,128,19,109,2,1.7,0,113.7,True
ex5-20,019bff7e-fc4e-7689-a93c-ac5789df3c86,Masquerain,Mysterious Treasures,1.05,2.24,126,14,112,2,7,0,111.6,True
xyp-XY131,019bff7f-e2b8-7168-a03e-798aaf450268,Pansear,Next Destinies,1.02,0.57,123,16,107,2,1.4,0,111.2,True
sm7-121,019bff7a-78f3-7153-ae67-a41e31350312,Delcatty,EX Trainer Kit 1: Latias & Latios,1.09,0.33,122,3,119,2,0.6,0,110.9,True
xy5-35,019bff82-9f85-738b-870f-f09f87c4a9c0,Swampert,Crystal Guardians,1.06,32.16,122,13,109,2,3,0,110.4,True
ex4-75,019bff82-9f85-738b-8711-4ae3d9b095de,Team Aqua Ball,Team Magma vs Team Aqua,1.09,7.02,117,14,103,2,0,0,108.5,True
ex15-87,019bff78-a648-7332-9aa3-70f0e9b81d4e,Boost Energy,Dragon Frontiers,1.07,4.02,117,7,110,2,1.6,0,108.2,True
ex13-56,019bff84-6f78-703d-b07e-62e9a8fba298,Wobbuffet,Sandstorm,1.08,5.08,116,16,100,2,0,0,108,True
g1-RC11,019bff84-6f78-703d-b07e-62e9a8fba298,Wobbuffet,Sandstorm,1.02,5.08,116,16,100,2,0,0,108,True
ex16-24,019bff84-6f78-703d-b07e-62e9a8fba298,Wobbuffet,Sandstorm,1.01,5.08,116,16,100,2,0,0,108,True
hgss3-19,019bff7e-fc50-71f0-aee2-e58dc4300d2c,Mismagius,Diamond and Pearl,1.03,11.12,112,13,99,2,0,0,106,True
ex16-40,019bff83-8640-7057-ac6d-f37fa9d8a562,Vibrava,Power Keepers,1.02,6.34,112,19,93,2,1.4,0,105.7,True
ex5-47,019bff81-ba5a-741b-bef3-e51c9a6bd508,Sealeo,Mysterious Treasures,1.08,1.9,108,4,104,2,0,0,104,True
bw5-71,019bff84-6f78-703d-b080-8b1604c141c2,Zoroark,Dark Explorers,1.1,4.27,108,15,93,2,1.9,0,103.6,True
ex8-50,019bff84-6f77-773f-980a-19029b6072de,Vigoroth,Power Keepers,1.08,8.62,106,13,93,2,0,0,103,True
